Recall Number,Product Safety Warning Number,Date,Product Safety Warning Date,Recall Heading,Name of product,Description,Hazard Description,Consumer Action,Original Product Safety Warning Announcement,Remedy Type,Units,Incidents,Remedy,Sold At Label,Sold At,Importers,Manufacturers,Distributors,Manufactured In,Custom Label,Custom Field
26-487,,14-May-26,,Petzl America Recalls SIMBA and SWAN EASYFIT Harnesses Due to Risk of Serious Injury or Death from Fall Hazard,"Petzl SIMBA CLIMBING and SIMBA PARK Children’s Harnesses, SWAN EASYFIT STEEL and SWAN EASYFIT STAINLESS Harnesses",This recall involves Petzl harnesses sold individually and in packs of five. Serial numbers are printed on plastic cards on the interior of the harnesses.&nbsp; All harnesses are offered in gray/orange color combinations.&nbsp; Harnesses included in the recall include:&nbsp;&nbsp;Recalled Harness NameHarness Serial Number/SizeSIMBA CLIMBINGC065BA00 (single) / C065BA01 (pack of 5)SIMBA PARKC065AA00 (single) / C065AA01 (pack of 5)SWAN EASYFIT STEELC062AA00 (single) / C062AA01 (pack of 5)SWAN EASYFIT STAINLESSC062BA00 (single) / C062BA01 (pack of 5)SWAN EASYFIT STEEL and SWAN EASYFIT STAINLESS are harnesses designed for adventure parks. The SIMBA models are designed for children between 110 and 160 cm tall. The SIMBA models include a FAST LT PIN-LOCK buckle at the back of the harness and color-coded webbing. The SWAN EASYFIT models include color-coded webbing and a FAST LT PIN LOCK buckle system.&nbsp;&nbsp;,"The recalled harnesses are missing rivets in the FAST LT PIN-LOCK buckles, causing the buckles to open, posing a risk of serious injury or death from a fall hazard.&nbsp;",,,Replace,"About 1,270 (In addition, about 220 were sold in Canada) ",None reported ,Consumers and operators should stop using and selling the recalled harnesses immediately and contact Petzl America at Aftersales_US@petzl.com for a free replacement harness.&nbsp;,Sold At,The PAD Climbing Gym stores nationwide and resellers online at Karst Sports.com and Peak Trading.com from May 2023 through November 2025 for about $130 (SIMBA) and from July 2021 through November 2025 for about $280 (SWAN).&nbsp;&nbsp;,"Petzl America, Inc., Salt Lake City, Utah ",,,Romania ,,
26-486,,14-May-26,,Amazon Recalls Amazon Basics 55 Lbs. Adjustable Dumbbells Due to Impact Hazard,Amazon Basics 55 Lbs. Adjustable Dumbbells,"This recall involves the Amazon Basics 55 Lbs. Adjustable Dumbbells. The dumbbells were sold in pairs and single units in the color black and include handles, weight plates and a molded plastic tray. The dumbbells adjust from 5 to 55 pounds using manual adjustment knobs while the weights are nested in the base. The manufacturing lot code C250306VJAW5 is printed on the outer cardboard packaging box.","The weight plates can fail to engage completely during weight adjustment and dislodge from the dumbbell handle when used, posing an impact hazard.&nbsp;",,,Refund,"About 2,900",Amazon received eight reports of weight plates not engaging completely during weight adjustment and dislodging during use. No injuries have been reported.,"Consumers should stop using the recalled dumbbell immediately and follow Amazon’s instructions for a full refund. Upon registration at https://amazondumbbellrecall.expertinquiry.com, consumers will be provided with a prepaid shipping label to return the dumbbell handle to Amazon. Upon receipt, consumers will be issued a full refund to the original payment method or in the form of an Amazon gift card.",Sold At,Amazon.com from July 2025 through September 2025 for between $170 and $320.,"Amazon.com Services LLC, of Seattle, Washington",,,China,,
26-485,,14-May-26,,World Bright International Limited Recalls Agio Menlo Woven Patio Swings Due to Risk of Serious Injury or Death from Fall Hazard; Sold at Costco,Agio Menlo Woven Patio Swings,"This recall involves Agio Menlo Woven Patio Swings with model number 1934256. The recalled swings were sold exclusively at Costco retail stores and online at Costco.com. The swings have a black metal frame, black metal swing arms, a fabric canopy, and a padded seat in brown outdoor wicker. The swing frame is about 75 inches high, 71 inches wide, and 48 inches deep. The swing seat is about 58 inches wide and 19 inches deep. Consumers who are unable to determine whether they have the recalled model can contact World Bright International Limited for assistance.","The swing seat can detach from the frame while in use, posing a risk of serious injury or death from a fall hazard.",,,Repair,"About 18,500","The firm has received eight reports of the swing seat detaching from the swing frame, resulting in eight reports of injury including impact injuries to the head and arms.",Consumers should immediately stop using the recalled patio swings and contact World Bright International Limited to receive a free repair in the form of replacement hooks and instructions for replacing the hooks.,Sold At,Costco retail stores and online at Costco.com from February 2026 through March 2026 for between $549 and $649.,"Costco Wholesale Corporation, of Issaquah, Washington",,"World Bright International Limited, of Hong Kong",China,,
26-483,,14-May-26,,Missry Associates Recalls Misco Sports Badminton Toy Sets Due to Risk of Serious Injury or Death from Battery Ingestion; Violates Mandatory Standard for Toys,Misco Sports Badminton Toy Sets Red/Blue MT2383,This recall involves Misco Sports Badminton Toy Sets (MT2383). The badminton toy sets come in blue and red and with a light up shuttlecock. The Badminton Toy Sets (MT2383) have “MT2383” and “100125” printed on products located on black handles in white color letters.,"The&nbsp;Misco Sports Badminton Toy Sets&nbsp;violate the&nbsp;https://cpsc.gov/Business--Manufacturing/Business-Education/Toy-Safety""… safety standard for children’s toys&nbsp;because the shuttlecocks contain button cell batteries that can be easily accessed by children. When button cell or coin batteries are swallowed, the ingested batteries can cause serious injuries, internal chemical burns and deaths.",,,Refund,"About 15,120",None reported,"Consumers&nbsp;should stop using the&nbsp;badminton toy set immediately, take the shuttlecock away from children and contact Missry Associates for a full refund. Consumers will be asked to dispose of the badminton toy set with the shuttlecock (number MT2383) in the trash and send the photo to&nbsp;help@misco.us.&nbsp;Note:&nbsp;Button cell and coin batteries are hazardous. Batteries should be disposed of or recycled by following local hazardous waste procedures.",Sold At,Menard’s stores nationwide from January 2026 through March 2026 for about $10.,"Missry Associates Inc., doing business as Misco Enterprises, of Edison, New Jersey",,,China,,
26-482,,14-May-26,,BRP Recalls Can-Am All-Terrain Vehicles (ATVs) Due to Risk of Serious Injury and Death from Crash Hazard,Can-Am Outlander Pro and Max Pro All-Terrain Vehicles,"This recall involves model years 25 and 26 Can-Am Outlander 500 or 700 Pro and Max Pro ATVs equipped with Speed Limiter Mode and model years 23 and 24 Can-Am Outlander&nbsp; Pro and Max Pro ATVs equipped with Speed Limiter Mode that received an Engine Control Module (ECM) software update at a dealership on or after February 3, 2026. The ATVs were sold in Tan, Green, Camo and Gray. The model year (MY) can be identified by the 10th character of the vehicle’s 17-digit Vehicle Identification Number (VIN). P = 2023, R = 2024, S = 2025, T = 2026. The VIN label is located on the front right side of the vehicle, on the frame. The stamped VIN is located on the front member on the right side of the vehicle. The model name “OUTLANDER PRO” is displayed on the vehicle’s front side and the ‘Can‑Am’ branding is located on the left rear fender near the tail section.","The ATV’s speed limiter control can malfunction, causing unexpected speed and acceleration, posing a serious risk of injury or death from crash hazard.",,,Repair,"About 2,820","The firm has received one report of a speed limiter failure that caused sudden acceleration and flipped the ATV, resulting in scrapes and bruises to the rider.","Consumers should stop using the Speed Limiter Mode immediately and contact an authorized Can-Am Off-Road dealer to schedule a free repair at the dealership, involving a software update that will take less than one hour. To find an authorized dealer visit https://can-am.brp.com/off-road/us/en/find-a-dealer.html#/search.",Sold At,"Authorized Can-Am Off-Road dealers from March 2023 through April 2026 for between $8,000 and $13,000.","BRP US Inc., of Sturtevant, Wisconsin",,,Mexico,,
26-484,,14-May-26,,Lithium Coin Batteries Recalled Due to Risk of Serious Injury or Death from Battery Ingestion; Violates Federal Statute for Child-Resistant Packaging of Coin Batteries; Imported and Sold on Amazon by LiCB,LiCB CR2032 3V Lithium Coin Batteries,"This recall involves LiCB-branded lithium coin batteries. The three-volt silver batteries were sold in packs of two, each with five batteries. The brand name and “CR2032” are embossed on the battery and printed on the product packaging.","The recalled coin batteries are not in child-resistant packaging and do not bear the warning labels required under https://www.cpsc.gov/Newsroom/News-Releases/2023/Making-Families-Safer-… lang=""EN-US"">Reese’s Law. When button cell or coin batteries are swallowed, the ingested batteries can cause serious injuries, internal chemical burns, and death.",,,Refund,"About 94,000",None reported,"Consumers should stop using the coin batteries immediately, place them in an area that children cannot access, and contact LiCB for a full refund. Consumers will be asked to dispose of the batteries according to local hazardous waste guidelines.&nbsp;&nbsp;Note: Button cell and coin batteries are hazardous. Batteries should be disposed of or recycled by following local hazardous waste procedures.&nbsp;",Sold Online At,Amazon.com in February 2026 for about $6.,,"Guangzhou Lichengbei Battery Technology Co., Ltd., dba LiCB, of China",,China,,
26-481,,14-May-26,,Tiyol Pull String Teething Toys Recalled Due to Risk of Serious Injury or Death from Choking; Violates Mandatory Standard for Toys; Sold on Amazon by ZW Creations,Tiyol Pull String Teething Toys,"This recall involves the Tiyol Pull String Teething Toy. The teething toy is an off-white disc shape with a red ball in the middle and six long, silicone pull string “tentacles” of various colors running through the ball. There are also three free-spinning rings and soft push buttons on the disc. “Model no. 688-59” is printed on the product packaging.","The recalled teething toys violate the mandatory standard for https://www.cpsc.gov/Business--Manufacturing/Business-Education/Toy-Saf… lang=""EN-US"">toys because the silicone strings are smaller and longer than permitted. The silicone strings can reach the back of the throat and become lodged, posing a risk of respiratory distress and becoming a deadly choking hazard.",,,Replace,"About 102,430",CPSC is aware of 11 choking incidents.,"Consumers should stop using the toy immediately, take it away from children and contact ZW Creations for a free replacement. Consumers will be asked to cut and discard all silicone string tentacles, write “RECALLED” on the main body of the toy using a permanent marker, and submit a photograph of the destroyed product online at https://tiyol-recall.com.&nbsp;",Sold Online At,Amazon.com from October 2022 through January 2026 for between $10 and $12.,"Zhongwan Guangzhou Technology Co., Ltd (Zhongwan Guangzhou Kejiyouxiangongsi), dba ZW Creations, of China",,,China,,
26-480,,14-May-26,,Superbobi Pool Drain Covers Recalled Due to Risk of Serious Injury or Death from Entrapment and Drowning Hazards; Violates Virginia Graeme Baker Pool & Spa Safety Act; Manufactured by Remy&shop,Superbobi 7 3/8 Inch Pool Drain Covers,"This recall involves Superbobi pool drain covers that are sold for use in swimming pools. The pool drain covers are 7 3/8-inches in diameter, weigh 4.6 ounces, and come with two screws. They are white and made of ABS plastic.","The recalled drain covers violate the entrapment protection standards of the https://www.cpsc.gov/Business--Manufacturing/Business-Education/FAQ?p=3… lang=""EN-US"">Virginia Graeme Baker Pool and Spa Safety Act (VGBA), posing entrapment and drowning hazards to swimmers and bathers.",,,Refund,About 200,None reported,"Pool owners, pool operators and consumers should immediately stop using pools with the recalled pool drain covers. To receive a refund, consumers will be asked to remove the drain cover from the pool, destroy the drain cover, take a photo of the destroyed cover, and send it to Remy&amp;shop by email at superbobirecall@outlook.com. Ensure all pools and spas have VGBA-compliant drain covers and teach children to stay away from drains.",Sold Online At,Amazon.com from September 2025 through March 2026 for about $15.,,"Shenzhen Jiangtou Technology Co., Ltd., dba Remy&amp;shop",,China,,
26-479,,14-May-26,,Minka Lighting Group Recalls Bardon Series Pendant Light Fixtures Due to Risk of Serious Injury or Death from an Impact Hazard,Minka Bardon Series Pendant Light Fixtures,"This recall involves three models of the Minka Bardon Series Pendant Light Fixtures. Models include the 8-Light Pendant (model number N1847-776), the 12-Light Pendant (model number N1848-776) and the 5-Light Island (model number N1849-776). The model number is printed on the ceiling plate of the light fixture. For installed fixtures, consumers should identify the fixture based on the photographs below. The fixtures include either one downrod (8-Light and 12-Light Pendants) or two downrods (5-Light Island) to attach the fixture to the ceiling. Each of the fixtures has a polished brass finish with slatted frosted glass shades. Please note that the 4-Light Semi Flush fixture (model number N1844-776) does not utilize a downrod and is not affected by this recall.","The recalled light fixture’s frame can detach from the pendant downrod during installation, posing a risk of serious injury or death from an impact hazard.",,,Refund,About 170,The firm has received one report of a light fixture detaching from the pendant downrod. No injuries have been reported.,Consumers should stop using the recalled Minka Bardon Series Pendant Light Fixtures immediately and contact Minka Lighting Group to receive a full refund in the form of a check sent by mail. Consumers should keep clear of the area directly beneath installed light pendants. Contact Minka Lighting Group for instructions on how to determine if the light fixture is included in the recall and for disposal instructions.,Sold At,"Specialty lighting and home décor dealers including At Home (Colorado Springs, Colorado), Broadway Showroom (Marble Falls, Texas), Joy of Living (Basking Ridge, New Jersey) and Light House of Lewes (Lewes, Delaware) from January 2025 through January 2026 for between $3,000 and $5,000.","Minka Lighting Group, LLC, of Corona, California",,,China,,
26-477,,7-May-26,,Allura Imports Recalls Youth Sweatshirts with Bobcat Logo and Drawstrings Due to Risk of Serious Injury or Death from Strangulation Hazard; Violates Federal Regulations for Children’s Upper Outerwear,Youth Sweatshirts with Drawstrings,This recall involves youth sweatshirts with drawstrings. The sweatshirts are gray and have the Bobcat name and logo printed in black on the chest of the sweatshirt. The sweatshirts were sold in youth sizes 8/10 and 12/14. The size of the sweatshirt and “RN#36753” is printed on the neck label in black.,The drawstrings in the recalled clothing can get caught on objects and cause death or serious injury to children from strangulation. The sweatshirts are in violation of the federal regulations for children’s upper outerwear and present a substantial product hazard.,,,Refund,About 120,None reported,"Consumers should take the recalled clothing away from children immediately, remove the drawstrings to eliminate the hazard and contact Allura Imports for a full refund. Consumers should contact cs@alluraimports.com, with subject ‘RECALL’, along with their name and the date, to receive a shipping label to return the garment. Upon receipt, affected consumers will be issued a refund.",Sold At,Gabe’s stores from October 2025 through November 2025 for about $15.,"Allura Imports Inc., of New York, New York",,,Egypt,,
26-478,,7-May-26,,EVLWZL and Gunugu Mattresses Recalled Due to Risk of Serious Injury or Death from Fire Hazard; Violates Mandatory Standard for Mattress Flammability,EVLWZL and Gunugu Mattresses,"This recall involves EVLWZL and Gunugu Mattresses. The mattresses are 10 and 12 inches thick and were sold in twin, full, queen and king size. They have a black top and sides. They were sold compressed in a box. The fiber content, size and “WG/P Foundation” are on a white label sewn onto the mattress cover. EVLWZL is on a black sewn on label on the front side.","The mattresses violate the mandatory flammability standard for https://cpsc.gov/Business--Manufacturing/Business-Education/Business-Gu… lang=""EN-US"">mattresses, posing a risk of serious injury or death from fire.",,,Repair,About 670,None reported,"Consumers should stop using the recalled mattress immediately and contact EVLWZL for repair. Consumers will receive a free fitted cover to put over their mattress, which will bring the mattress into compliance with mandatory flammability standards.",,,,,,China,Retailer:,"Foshan Kangzhibao Furniture Co., Ltd. (doing business as EVLWZL) of China and&nbsp;Foshan Simengduo Home Furnishings Co., Ltd (doing business as Gunugu) of China"
26-475,,7-May-26,,Analemma Water Bottles Recalled Due to Risk of Serious Injury or Death from Laceration and Ingestion Hazards; Imported by New Earth Technologies d.o.o.,Analemma Water Bottles,"This recall involves all Analemma-branded water bottles. The stainless-steel water bottles were sold in black or white and have a glass inner liner and a screw-on top. The Analemma logo, “24 oz” and “Analemma The Architect of Life” are printed on the front of the water bottles.","The recalled water bottle’s inner glass liner can break, posing a risk of serious injury or death from laceration and ingestion hazards.",,,"Refund, Repair",About 800,"New Earth Technologies d.o.o. has received 20 reports of the glass inner liner breaking, including one that resulted in an oral injury.","Consumers should immediately stop using the recalled water bottles and contact New Earth Technologies d.o.o. for a full refund or a free repair, including shipping. The repair consists of a stainless-steel mesh insert and instructions on how to insert it into the water bottle.",Sold Online At,Analemma-water.com from November 2025 through February 2026 for about $250.,"New Earth Technologies d.o.o., dba Analemma, of Zagreb, Croatia",,,Netherlands,,
26-472,,7-May-26,,Rainbow Wall Toys Recalled Due to Risk of Serious Injury or Death from Choking Hazard; Violate Mandatory Standard for Children’s Toys; Sold on Amazon by Justforjoyful,Justforjoyful Rainbow Wall Toys,"This recall involves Justforjoyful Rainbow Wall Toys, model JJ1602. The toy is composed of various colorful wooden pieces, intended to be put together and mounted on a wall. Components of the toy include interlocking gears, a washboard and xylophone with a pick and mallet on cords, a rotating maze, two wooden puzzles, a sun, a clock with hands and a rotating hourglass with sand, and a wooden tortoise and hare on a track.","The recalled toys violate the https://cpsc.gov/Business--Manufacturing/Business-Education/Toy-Safety""… lang=""EN-US"">mandatory safety standard for children’s toys because the drumstick that is attached to the xylophone component has a spherical end that can pose a choking hazard.",,,Refund,About 160,None reported,"Consumers should stop using the recalled toys immediately, take them away from children and contact Justforjoyful for a full refund. Consumers will be asked to write “RECALLED” on the back of the individual wooden components, submit a photo of the marked pieces to Justforjoyful@outlook.com, then dispose of the toy.",Sold Online At,Amazon.com from December 2025 through March 2026 for about $90.,,,,China,Retailer:,"Shenzhen Jijia Trading Co., Ltd., dba Justforjoyful, of China"
26-470,,7-May-26,,Multi-Purpose Helmets Recalled Due to Risk of Serious Injury or Death from Head Injury; Violates Mandatory Standard for Bicycle Helmets; Sold on Temu by Foubeaka and Geniuss,Multi-Purpose Helmets,"This recall involves Foubeaka and Geniuss multi-purpose helmets. The recalled helmets were sold in white and black and in size small (S), fitting a head circumference of about 18.9 to 20.5 inches. The helmets have black padding, straps, a buckle and a knob at the back for adjusting the helmet’s fitting. The size is printed on a label inside of the helmet.","The recalled helmets violate the mandatory safety standard for https://www.cpsc.gov/Business--Manufacturing/Business-Education/Busines… lang=""EN-US"">bicycle helmets because the helmets do not comply with the positional stability and certification requirements. The helmets can fail to protect the user in the event of a crash, posing a serious risk of injury or death due to head injury.",,,Refund,About 740,None reported,Consumers should stop using the recalled helmets immediately and contact Foubeaka or Geniuss for a full refund. Consumers will be asked to destroy the recalled helmet by cutting the straps and then send a photo of the destroyed helmet to the corresponding firm.,Sold Online At,Temu.com from August 2024 through February 2026 for between $9 and $11.,,,,China,Retailer:,"Shenzhenshilingkexunkeji Co., Ltd. (Shenzhen Lingkexun Technology Co., Ltd.), dba Foubeaka and Geniuss, of China"
26-469,,7-May-26,,Natural Pigments Recalls Rublev Colours Gum Turpentine and Mineral Spirits Bottles Due to Risk of Serious Injury or Death from Child Poisoning; Violates Mandatory Standard for Child-Resistant Packaging,Rublev Colours Gum Turpentine and Mineral Spirits Bottles,"This recall involves the bottles of Rublev Colours Gum Turpentine and Mineral Spirits. The bottles are made of amber glass and have a beige, orange, and white label. The labels have “Rublev Colours” in white lettering and the two bottles have “Gum Turpentine”, “Distilled Spirits of Gum Turpentine” or “Mineral Spirits”, “Stoddard Solvent” printed on the bottles.&nbsp; Both bottles have warnings&nbsp; and directions for use on the white areas of the labels.","The gum turpentine and mineral spirits contain turpentine and low-viscosity hydrocarbons, respectively, which must be in child-resistant packaging, as required by the https://www.cpsc.gov/Business--Manufacturing/Business-Education/Busines… lang=""EN-US"">Poison Prevention Packaging Act. The bottles are not child-resistant, posing a risk of serious injury or death from poisoning if the contents are swallowed by young children.",,,"Refund, Replace",About 860,None reported,"Consumers should secure the recalled bottles out of sight and reach of children immediately and contact Natural Pigments to receive a replacement product with child-resistant packaging or a refund. Consumers will be asked to submit a photo of the recalled product, provide contact information and confirm disposal of the contents before receiving a replacement product with child-resistant packaging or a refund.",Sold At,"Blick Art Materials, Art Supply Warehouse and Soho Art Materials stores nationwide and online at NaturalPigments.com and DickBlick.com from about August 2022 through March 2026 for between $11 and $16.",,"Natural Pigments LLC, of Willits, California",,United States,,
26-468,,7-May-26,,Svnntaa Bed Rails Recalled Due to Risk of Serious Injury or Death from Entrapment and Asphyxiation Hazards; Violates Mandatory Standard for Adult Portable Bed Rails; Sold on Amazon by Eokeanon,Svnntaa Bed Rails,This recall involves Svnntaa-branded adult portable bed rails. The recalled bed rails have white metal tubing with black foam handle grips and a fabric pouch. They measure about 21.2 inches tall by 11.8 inches wide and 20.5 inches long. The brand name is printed on the product's purchase order or receipt.,"The recalled bed rails violate the mandatory standard for https://www.cpsc.gov/Business--Manufacturing/Business-Education/Busines… lang=""EN-US"">adult portable bed rails because users can become entrapped within the bed rail or between the bed rail and the side of the mattress, posing a serious entrapment hazard and risk of death by asphyxiation. The bed rails do not meet structural stability or retention strap requirements, posing a fall hazard. Furthermore, the bed rails’ push pins and push pin holes are incorrectly sized, posing a laceration hazard.",,,Refund,"About 4,200",None reported,"Consumers should stop using the recalled bed rails immediately and contact Eokeanon for a full refund. Consumers will be asked to dismantle and destroy the bed rail by cutting the black fabric mesh bag off the rail and the black safety strap in half, write “Recalled” in permanent marker on the main frame and send a photo of the destroyed bed rails to Kaiwendi316@outlook.com. Consumers should then dispose of the recalled product in accordance with state and local waste disposal procedures.",Sold Online At,Amazon.com from August 2023 through January 2026 for about $32.,,,,China,Seller:,"shenzhenkaiwendishangmaoyouxiangongsi (Shenzhen Kaiwendi Trading Co., Ltd.), dba Eokeanon, of China"
26-467,,7-May-26,,Favoto Bicycle Helmets Recalled Due to Risk of Serious Head Injury; Violate Mandatory Standard for Bicycle Helmets; Sold on Amazon by Favoto,Favoto Bike Helmets,"This recall involves Favoto Model H-1 bike helmets.&nbsp; The helmet body is black with red stripes, black padding, black straps with a silver reflective pattern in the center and a black and red buckle with a black chin strap. The recalled helmets were sold in youth size large (L). The helmets have a black plastic knob at the back of the helmet for adjusting the fitting. “FAVOTO” can be found in white letters on the side of the helmet.","The recalled helmets violate the mandatory safety standard for https://www.cpsc.gov/Business--Manufacturing/Business-Education/Busines… lang=""EN-US"">bicycle helmets because they do not comply with the positional stability, labeling and certification requirements. The helmets can fail to protect the user in the event of a crash, posing a serious risk of injury or death due to head injury.",,,Refund,"About 2,200",None reported,Consumers should stop using the helmets immediately and contact Favoto for a full refund. Consumers will be asked to destroy the recalled helmet by cutting the straps and write “Recalled” and email a photo of the destroyed helmet to safety@favoto.com.,Sold Online At,Amazon.com from April 2022 through January 2026 for between $20 and $27.,"Shenzhen Favoto Co., Ltd., doing business as Favoto, of China",,,China,,
26-466,,7-May-26,,ZMC Group Recalls Multiple Light Up Toys Due to Risk of Serious Injury or Death from Battery Ingestion; Violate Mandatory Standard for Toys,Various Battery-operated Light Up Toys,"This recall involves various ZMC Group battery-operated toys, including:&nbsp;Product NameItem #19.4"" Assorted Colors Light Up Stick&nbsp;885S-01/02&nbsp;Light Up Halloween Wands&nbsp;777-HW&nbsp;Light Up Halo Flower Headband&nbsp;G06-2L&nbsp;Light Up Devil Horns Headband&nbsp;G03-C&nbsp;Light Up Polka Dot Bow Headband&nbsp;G01-1&nbsp;LED Light Up Flying Disc&nbsp;UFO&nbsp;Lite-Up Maraca&nbsp;668-23&nbsp;Light Up Yo-Yo&nbsp;9987B&nbsp;Cardpack Flashing Whistle Necklace&nbsp;ZS166&nbsp;Packaging for the products has a label with the item number, identification of the distributor, place of manufacture, production date and batch number. The recall includes all batch numbers for the referenced products.&nbsp;","The recalled toys violate the https://cpsc.gov/Business--Manufacturing/Business-Education/Toy-Safety""… lang=""EN-US"">mandatory safety standard for children’s toys because the toy contains button cell batteries that can be easily accessed by children. If button cell or coin batteries are swallowed, the ingested batteries can cause serious injuries, including internal chemical burns, and death.",,,Refund,"About 124,560",None reported,"Consumers should stop using the toys immediately, take them away from children and contact ZMC Group for a full refund. Consumers will be asked to remove the batteries, break each component in half or write “RECALLED” or a large “X” on the product with a permanent marker, and submit a photo of the destroyed/marked pieces to recallzmctoy@gmail.com.&nbsp;&nbsp;&nbsp;Note: Button cell batteries are hazardous. Batteries should be disposed of or recycled by following local hazardous waste procedures.",Sold At,Various discount stores nationwide from May 2023 through April 2026 for about $1.,"ZMC Group, Inc., of Los Angeles, California",,,China,,
26-465,,7-May-26,,EEMB USA Recalls Battery Pouches Due to Risk of Serious Injury or Death from Battery Ingestion; Violate Federal Statute for Child-Resistant Packaging of Coin Batteries,EEMB Lithium Battery Packs,"This recall involves EEMB lithium batteries in individual pouches, models include: CR2025, CR2032, CR2450, CR2477, CR2016, CR1220, CR1225, CR1616, CR1620, CR1632 and CR2025-10. The lithium coin batteries come in a five, ten or twenty size pack. “EEMB” and the battery type is printed on the face of the coin battery. The white pouch has “EEMB” printed in the upper left corner.","The lithium coin batteries are in pouches that are not child-resistant as required under https://www.cpsc.gov/Newsroom/News-Releases/2023/Making-Families-Safer-… lang=""EN-US"">Reese’s Law. If a child swallows button cell or coin batteries, the ingested batteries can cause serious injuries, including internal chemical burns and death.",,,Refund,"About 312,100",None reported,"Consumers should stop using the lithium batteries immediately, place them in an area that children cannot access and contact EEMB USA to receive a full refund.&nbsp;&nbsp;Note: Button cell and coin batteries are hazardous. Batteries should be disposed of or recycled by following local hazardous waste procedures.&nbsp;&nbsp;",Sold Online At,Amazon.com from August 2023 through April 2026 for between $3 and $9.,,,,China,Retailer:,"EEMB USA, doing business as A2batt, Inc., of Redlands, California"
26-458,,30-Apr-26,,American Honda Motor Recalls Off-Road Motorcycles Due to Risk of Serious Injury or Death Due to Crash Hazard,Model Year 2025-2026 CRF250R/RX/RWE and CRF450R/RX/RWE Off-Road Motorcycles,This recall involves model year 2025-2026 Honda off-road motorcycles with model numbers CRF250R/RX/RWE or CRF450R/RX/RWE. The model number can be found on the front of the bike in white letters. The white Honda logo is printed on both sides of the back of the motorcycle. The motorcycles have a red chassis. The vehicle identification number (VIN) can be found on the left side of the steering head on all models. Consumers can check if their VIN is included in the recall at https://powersports.honda.com/recalls.&nbsp;,"The handlebar’s clamp can unexpectedly cause the handlebar to rotate, posing a risk of serious injury or death due to a crash hazard.",,,Repair,"About 12,600 (In addition, about six were sold in Canada) ",The firm has received one report of a crash. No injuries have been reported.  ,"Consumers should stop using the recalled off-road motorcycles immediately and contact an authorized Honda Powersports dealer to schedule an appointment for a free inspection and if necessary, a replacement of the handlebar’s clamp at the dealer’s location.&nbsp;",Sold At,"Authorized Honda Powersports dealers nationwide from June 2024 through March 2026 for between $8,900 and $13,200.","American Honda Motor Co. Inc, of Torrance, California",,,Japan,,
26-457,,30-Apr-26,,Build-A-Bear Workshop Recalls Heartwarming Hugs Bears Due to Risk of Serious Injury or Death from Choking Hazard to Children,Build-A-Bear Workshop Heartwarming Hugs Bears,"This recall involves the Heartwarming Hugs weighted plush bear with model number 034464. It has a side pouch containing a heart filled with 2.5 pounds of ceramic beads, which can be heated or cooled for comfort. The pouch is secured with a zipper. The product is graded 3 years+ and carries a cautionary statement advising adult supervision due to the heated/cooled element. The model number is located on the label sewn into the back side of one bear leg.&nbsp;&nbsp;","The zipper slider on the side pouch can detach, posing a risk of serious injury or death from choking hazard to children.",,,"Refund, Replace","About 36,000 (In addition 520 were sold in Canada) ","There has been one consumer report in the United Kingdom of the zipper slider detaching while in use, and no reports in the United States. No injuries have been reported.","Consumers should immediately stop using the recalled Heartwarming Hugs Bear and return it to a local Build-A-Bear Workshop store to receive a refund in the form of original payment or a gift card for the original purchase price redeemable toward any available Make-Your-Own furry friend and any other available merchandise.&nbsp;&nbsp;If a consumer is unable to return their Heartwarming Hugs Bear to a local store, they can visit www.buildabear.com/recalls for more information or call Build-A-Bear to receive a free return shipping label to return the recalled bear and to receive a refund check in the form of original payment or in the form of a digital gift card to use on the firm’s website.&nbsp;",Sold At,Build-A-Bear Workshop stores and online at www.buildabear.com from January 2026 through March 2026 for about $48.,"Build-A-Bear Workshop, Inc., of St Louis, Missouri ",,,China,,
